Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
always-an-optimist-4-in-1-mist-translucent,Always an Optimist 4-In-1 Mist,"An ultra-fine, all-in-one face mist packed with skin-loving ingredients to hydrate, prime, set, and refresh for an uplifting glow-boost that lasts.",Rare Beauty,,Setting Spray,"Coverage: Light, Finish: Radiant, non-returnable, Shop Sephora, vb",TRUE,Title,Default Title,,,,,FGPAOM0001F3,140,,0,deny,manual,30,,TRUE,TRUE,840122901478,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/4-IN-1-MIST-SKU-1_c9988cd0-b4d3-4fb7-b9e2-5e3a36bf5d05.jpg?v=1762200384,1,,,,,,g,,,,,active
always-an-optimist-4-in-1-mist-translucent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/4-IN-1-MIST-SKU-2_08404cf1-d795-4dd9-b332-f2e6a463becd.jpg?v=1598637698,2,,,,,,,,,,,
blot-glow-blotting-paper-refill-100ct,Blot & Glow Blotting Paper Refill,<p>This 100-pack of blotting sheets gently absorbs excess oil while keeping makeup in place.</p>,Rare Beauty,,Finishing Powder,"Finish: Radiant, non-returnable, Shop Sephora, vb",TRUE,Title,Default Title,,,,,FGPBGR0002F1,14,,0,deny,manual,5,,TRUE,TRUE,840122901461,https://cdn.shopify.com/s/files/1/0314/1143/7703/products/BLOT-GLOW-PAPER-REFILL-SKU-1_d203bcd8-bd7a-43c9-8b53-3e9c1a0f050c.jpg?v=1762200385,1,,,,,,g,,,,,active
